gameid,league,year,date,game,playoffs,side,team,gamelength,result,teamkills,teamdeaths,totalgold,enemy_gold,enemy_team
ESPORTSTMNT03/1310222,GLL,2020,1/19/2020 15:19,1,0,Blue,LUL Esports,1698,1,22,10,57119,43643,Team Refuse
ESPORTSTMNT03/1310222,GLL,2020,1/19/2020 15:19,1,0,Red,Team Refuse,1698,0,10,22,43643,57119,LUL Esports
ESPORTSTMNT03/1310258,GLL,2020,1/19/2020 17:05,1,0,Blue,Greek Regenesis eSports,1652,0,13,19,42632,55603,Gamespace Mediterranean College Esports
ESPORTSTMNT03/1310258,GLL,2020,1/19/2020 17:05,1,0,Red,Gamespace Mediterranean College Esports,1652,1,19,13,55603,42632,Greek Regenesis eSports
ESPORTSTMNT03/1310275,GLL,2020,1/19/2020 18:18,1,0,Blue,WLGaming Esports,1475,0,4,26,35305,50692,Intrepid Fox Gaming
ESPORTSTMNT03/1310275,GLL,2020,1/19/2020 18:18,1,0,Red,Intrepid Fox Gaming,1475,1,26,4,50692,35305,WLGaming Esports
ESPORTSTMNT03/1310284,GLL,2020,1/19/2020 19:09,1,0,Blue,Pyrsos Esports,1836,1,38,13,63804,48019,Laughing Coffins
ESPORTSTMNT03/1310284,GLL,2020,1/19/2020 19:09,1,0,Red,Laughing Coffins,1836,0,13,38,48019,63804,Pyrsos Esports
ESPORTSTMNT03/1310443,GLL,2020,1/20/2020 16:20,1,0,Blue,Gamespace Mediterranean College Esports,1724,0,13,27,47204,54894,Team Refuse
ESPORTSTMNT03/1310443,GLL,2020,1/20/2020 16:20,1,0,Red,Team Refuse,1724,1,27,13,54894,47204,Gamespace Mediterranean College Esports
ESPORTSTMNT01/1280296,BL,2020,1/20/2020 17:29,1,0,Blue,RSC Anderlecht Esports,1539,1,17,3,49702,38777,Brussels Guardians
ESPORTSTMNT01/1280296,BL,2020,1/20/2020 17:29,1,0,Red,Brussels Guardians,1539,0,3,17,38777,49702,RSC Anderlecht Esports
ESPORTSTMNT03/1310475,GLL,2020,1/20/2020 17:44,1,0,Blue,Intrepid Fox Gaming,1402,1,20,4,45531,34507,Pyrsos Esports
ESPORTSTMNT03/1310475,GLL,2020,1/20/2020 17:44,1,0,Red,Pyrsos Esports,1402,0,4,20,34507,45531,Intrepid Fox Gaming
ESPORTSTMNT01/1280306,BL,2020,1/20/2020 18:12,1,0,Blue,Sector One,1887,1,17,16,58801,49019,Timeout Esports
ESPORTSTMNT01/1280306,BL,2020,1/20/2020 18:12,1,0,Red,Timeout Esports,1887,0,15,17,49019,58801,Sector One
ESPORTSTMNT01/1280315,BL,2020,1/20/2020 19:07,1,0,Blue,Brussels Guardians,2119,1,26,9,68896,55766,KV Mechelen Esports
ESPORTSTMNT01/1280315,BL,2020,1/20/2020 19:07,1,0,Red,KV Mechelen Esports,2119,0,9,26,55766,68896,Brussels Guardians
ESPORTSTMNT03/1310493,GLL,2020,1/20/2020 19:10,1,0,Blue,LUL Esports,2008,0,17,31,54986,66240,Greek Regenesis eSports
